Country,TotalGold,TotalSilver,TotalBronze,GrandTotal,RankByTotal
United States of America,39,41,33,113,1
People's Republic of China,38,32,18,88,2
ROC,20,28,23,71,3
Great Britain,22,21,22,65,4
Japan,27,14,17,58,5
Australia,17,7,22,46,6
Italy,10,10,20,40,7
Germany,10,11,16,37,8
Netherlands,10,12,14,36,9
France,10,12,11,33,10
Canada,7,6,11,24,11
Brazil,7,6,8,21,12
Hungary,6,7,7,20,13
New Zealand,7,6,7,20,14
Republic of Korea,6,4,10,20,15
Ukraine,1,6,12,19,16
Spain,3,8,6,17,17
Cuba,7,3,5,15,18
Poland,4,5,5,14,19
Turkey,2,2,9,13,20
Switzerland,3,4,6,13,21
Chinese Taipei,2,4,6,12,22
Denmark,3,4,4,11,23
Czech Republic,4,4,3,11,24
Kenya,4,4,2,10,25
Serbia,3,1,5,9,26
Sweden,3,6,0,9,27
Jamaica,4,1,4,9,28
Croatia,3,3,2,8,29
Norway,4,2,2,8,30
Georgia,2,5,1,8,31
Kazakhstan,0,0,8,8,32
Belgium,3,1,3,7,33
Belarus,1,3,3,7,34
Azerbaijan,0,3,4,7,35
India,1,2,4,7,36
Austria,1,1,5,7,37
Islamic Republic of Iran,3,2,2,7,38
Egypt,1,1,4,6,39
Bulgaria,3,1,2,6,40
"Hong Kong, China",1,2,3,6,41
Slovenia,3,1,1,5,42
Uzbekistan,3,0,2,5,43
Indonesia,1,1,3,5,44
Dominican Republic,0,3,2,5,45
Colombia,0,4,1,5,46
Israel,2,0,2,4,47
Ireland,2,0,2,4,48
Venezuela,1,3,0,4,49
Greece,2,1,1,4,50
Armenia,0,2,2,4,51
Mexico,0,0,4,4,52
Mongolia,0,1,3,4,53
Uganda,2,1,1,4,54
Ethiopia,1,1,2,4,55
Philippines,1,2,1,4,56
Portugal,1,1,2,4,57
Romania,1,3,0,4,58
Slovakia,1,2,1,4,59
Argentina,0,1,2,3,60
Kyrgyzstan,0,2,1,3,61
Qatar,2,0,1,3,62
Ecuador,2,1,0,3,63
San Marino,0,1,2,3,64
South Africa,1,2,0,3,65
Jordan,0,1,1,2,66
Kosovo,2,0,0,2,67
Latvia,1,0,1,2,68
Malaysia,0,1,1,2,69
Bahamas,2,0,0,2,70
Finland,0,0,2,2,71
Nigeria,0,1,1,2,72
Fiji,1,0,1,2,73
Estonia,1,0,1,2,74
Tunisia,1,1,0,2,75
Thailand,1,0,1,2,76
Turkmenistan,0,1,0,1,77
Bahrain,0,1,0,1,78
Syrian Arab Republic,0,0,1,1,79
Bermuda,1,0,0,1,80
Botswana,0,0,1,1,81
Burkina Faso,0,0,1,1,82
C�te d'Ivoire,0,0,1,1,83
Saudi Arabia,0,1,0,1,84
Republic of Moldova,0,0,1,1,85
Puerto Rico,1,0,0,1,86
North Macedonia,0,1,0,1,87
Ghana,0,0,1,1,88
Namibia,0,1,0,1,89
Morocco,1,0,0,1,90
Lithuania,0,1,0,1,91
Kuwait,0,0,1,1,92
Grenada,0,0,1,1,93
