Discipline,TotalMaleAthletes,TotalFemaleAthletes,TotalAthletes,AthleteStatus
3x3 Basketball,32,32,64,
Archery,64,64,128,
Artistic Gymnastics,98,98,196,
Artistic Swimming,0,105,105,
Athletics,1072,969,2041,Highest Overall
Badminton,87,86,173,
Baseball/Softball,144,90,234,
Basketball,144,144,288,
Beach Volleyball,48,48,96,
Boxing,187,102,289,
Canoe Slalom,41,41,82,
Canoe Sprint,126,123,249,
Cycling BMX Freestyle,9,10,19,
Cycling BMX Racing,24,24,48,
Cycling Mountain Bike,38,38,76,
Cycling Road,131,70,201,
Cycling Track,99,90,189,
Diving,71,72,143,
Equestrian,125,73,198,
Fencing,108,107,215,
Football,344,264,608,
Golf,60,60,120,
Handball,168,168,336,
Hockey,192,192,384,
Judo,201,192,393,
Karate,42,40,82,
Marathon Swimming,25,25,50,
Modern Pentathlon,36,36,72,
Rhythmic Gymnastics,0,96,96,
Rowing,265,257,522,
Rugby Sevens,151,146,297,
Sailing,175,175,350,
Shooting,178,178,356,
Skateboarding,40,40,80,
Sport Climbing,20,20,40,
Surfing,20,20,40,
Swimming,418,361,779,
Table Tennis,86,86,172,
Taekwondo,65,65,130,
Tennis,97,94,191,
Trampoline Gymnastics,16,16,32,
Triathlon,55,55,110,
Volleyball,144,144,288,
Water Polo,146,122,268,
Weightlifting,99,98,197,
Wrestling,193,96,289,
